business_date,symbol,security_name,ltp,open,high,low,previous_close,percent_change,qty,turnover,total_trades,avg_traded_price,fifty_two_week_high,fifty_two_week_low,last_updated_time,security_id,is_suggested
2026-09-24,ACLBSL,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,877.0,871.1,890.0,871.1,878.0,-0.1139,281.0,249233.5,13.0,886.95,1095.0,827.9,2026-09-24T14:36:02.81832,2790,0
2026-09-24,ADBL,Agricultural Development Bank Limited,313.0,312.0,313.0,309.1,311.0,0.6431,18501.0,5764417.5,119.0,311.57,340.0,285.2,2026-09-24T14:59:48.629973,397,0
2026-09-24,ADBLD83,10.35% Agricultural Bank Debenture 2083,1035.0,1035.0,1035.0,1035.0,1035.0,0.0,50.0,51750.0,1.0,1035.0,1132.9,1015.0,2026-09-24T13:00:03.74441,2886,0
2026-09-24,AHL,Asian Hydropower Limited,402.7,380.3,415.1,359.0,392.0,2.7296,4849.0,1894105.7,59.0,390.61,699.0,343.0,2026-09-24T14:57:37.93646,9150,0
2026-09-24,AHPC,Arun Valley Hydropower Development Co. Ltd.,266.9,267.0,267.0,264.0,266.2,0.263,60584.0,16096169.4,228.0,265.68,323.3,245.8,2026-09-24T14:59:58.430889,360,0
2026-09-24,AKJCL,Ankhu Khola Jalvidhyut Company Ltd,358.0,354.0,360.1,352.2,358.0,0.0,226896.0,80919663.8,545.0,356.63,461.4,179.0,2026-09-24T14:59:58.108265,2788,0
2026-09-24,AKPL,Arun Kabeli Power Ltd.,253.0,251.0,254.4,250.0,251.6,0.5564,39752.0,10014883.1,158.0,251.93,317.0,231.1,2026-09-24T14:59:57.462137,2757,0
2026-09-24,ALBSL,Asha Laghubitta Bittiya Sanstha Ltd,1174.4,1165.3,1198.0,1161.0,1194.0,-1.6415,1642.0,1933979.4,48.0,1177.81,1334.0,930.0,2026-09-24T14:57:17.116438,2807,0
2026-09-24,ALICL,Asian Life Insurance Co. Limited,432.8,425.0,432.9,421.2,427.0,1.3583,24236.0,10309906.2,114.0,425.39,505.0,381.4,2026-09-24T14:59:54.120191,385,0
2026-09-24,ANLB,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,4987.0,4892.0,5000.0,4890.5,4937.9,0.9943,2409.0,11827938.4,34.0,4909.89,7560.0,4750.0,2026-09-24T14:59:56.553257,9161,0
2026-09-24,APHL,Appolo Hydropower Limited,671.0,650.0,684.9,650.0,661.3,1.4668,4378.0,2919477.9,140.0,666.85,1053.4,299.7,2026-09-24T14:58:31.581836,9337,0
2026-09-24,API,Api Power Company Ltd.,334.8,334.0,335.7,330.1,334.0,0.2395,222714.0,74215213.1,592.0,333.23,370.0,269.0,2026-09-24T14:59:58.414579,697,0
2026-09-24,AVYAN,Aviyan Laghubitta Bittiya Sanstha Limited,1060.0,1067.8,1067.8,1037.0,1059.0,0.0944,500.0,528162.0,20.0,1056.32,1366.0,906.0,2026-09-24T14:59:44.473439,8117,0
2026-09-24,BANDIPUR,Bandipur Cablecar and Tourism Limited,640.0,608.0,644.0,608.0,639.0,0.1565,19309.0,12317029.2,281.0,637.89,1233.0,285.0,2026-09-24T14:59:53.309085,9297,0
2026-09-24,BARUN,Barun Hydropower Co. Ltd.,326.0,316.0,332.1,316.0,329.0,-0.9119,17555.0,5729993.8,99.0,326.4,401.5,298.0,2026-09-24T14:59:49.452725,686,0
2026-09-24,BBC,Bishal Bazar Company Limited,4090.5,4100.0,4100.0,4056.0,4052.0,0.9501,90.0,368465.0,5.0,4094.05,5600.0,3825.0,2026-09-24T14:11:02.88805,156,0
2026-09-24,BEDC,Bhugol Energy Development Company Limited,308.9,309.8,309.9,304.0,307.0,0.6189,8528.0,2619360.0,72.0,307.14,728.0,270.0,2026-09-24T14:59:31.855534,9171,0
2026-09-24,BFC,Best Finance Company Ltd.,447.0,445.0,450.0,440.5,444.0,0.6757,14441.0,6473319.3,86.0,448.25,562.0,418.0,2026-09-24T14:59:45.463228,227,0
2026-09-24,BGWT,Bhagawati Hydropower Development Company Limited,492.0,486.0,494.7,486.0,487.1,1.006,4190.0,2057733.5,35.0,491.1,944.0,435.0,2026-09-24T14:59:33.908396,9214,0
