rank,symbol,security_name,ltp,percent_change,turnover,qty,total_trades,attractiveness_score,suggestion_reason,is_suggested
1,NRN,NRN Infrastructure and Development Limited,1419.0,0.9964,191155095.7,135300.0,549.0,78.47,High turnover (liquid); Steady positive move; Near 52-week low (higher risk),1
2,SBI,Nepal SBI Bank Limited,403.9,0.4726,167934134.9,419124.0,93.0,73.37,High turnover (liquid); Steady positive move; Mid 52-week range,1
3,RSML,Reliance Spinning Mills Limited,2910.0,-2.7731,211267268.2,71366.0,751.0,72.69,High turnover (liquid); Active trading; Sold off on volume (contrarian watch),1
4,SAPIL,Sarvottam Paints Industries Limited,1268.0,2.2581,51905553.5,41352.0,1184.0,69.83,Active trading; Steady positive move; Mid 52-week range,1
5,GHL,Ghalemdi Hydro Limited,235.9,3.4649,44677516.4,192055.0,589.0,58.41,Steady positive move; Mid 52-week range,1
6,MEN,Mountain Energy Nepal Limited,636.0,0.4581,49384199.6,78042.0,235.0,53.32,Steady positive move; Mid 52-week range,1
7,NHPC,National Hydro Power Company Limited,255.7,0.4715,29853671.9,117146.0,313.0,50.94,Steady positive move; Mid 52-week range,1
8,BHL,Balephi Hydropower Limited,204.8,2.4,15478367.1,76538.0,311.0,48.18,Steady positive move; Mid 52-week range,1
9,MNBBL,Muktinath Bikas Bank Ltd.,325.6,2.2613,30919990.4,95324.0,499.0,47.28,Steady positive move; Near 52-week low (higher risk),1
10,RHPL,RASUWAGADHI HYDROPOWER COMPANY LIMITED,167.0,2.454,38976831.6,236673.0,382.0,46.83,Steady positive move; Near 52-week low (higher risk),1
11,SOHL,Solu Hydropower Limited,640.0,-1.5385,82255027.0,128482.0,938.0,46.42,Decent turnover; Active trading; Mid 52-week range,1
12,KKHC,Khanikhola Hydropower Co. Ltd.,268.0,1.1321,18371126.2,69228.0,152.0,46.05,Steady positive move; Mid 52-week range,1
13,SHEL,Singati Hydro Energy Limited,291.0,0.3448,12950001.4,44810.0,195.0,45.75,Steady positive move; Mid 52-week range,1
14,HURJA,Himalaya Urja Bikas Company Limited,235.0,1.2931,10589299.3,45230.0,141.0,44.39,Steady positive move; Mid 52-week range,1
15,RIDI,Ridi Power Company Limited,346.8,-0.3162,113544941.9,327974.0,440.0,43.93,Decent turnover; Mid 52-week range,1
